Authority,Botanical Name,Common Name,Council District,Epithet,Genus,Park_Side_Street,Location,Park Name,Side,Site ID,Street,Address,Air Quality Benefits ($),CO2 Avoided (in lbs.),CO2 Sequestered (in lbs.),DBH,Energy Benefits ($),Greenhouse CO2 Benefits ($),kWh Saved,Latitude,Leaf Surface Area (in sq. ft.),Longitude,Pollutants Saved (in lbs.),Property Benefits ($),Site,Stormwater Benefits ($),Stormwater Gallons Saved,Therms Saved,Total Yearly Eco Benefits ($)
Olmsted,ABIES BALSAMEA,"FIR, BALSAM",South,BALSAMEA,ABIES,Cazenovia_In_Lot_Cazenovia St,"(42.8428351871972, -78.8051046102933)",Cazenovia,In_Lot,107223,Cazenovia St,161,0.13,1.16,0.6,3,3.97,0.01,5.51,42.84283519,42.07,-78.80510461,0.02,25.31,1,0.49,61.27,2.27,29.9
Olmsted,ABIES CONCOLOR,"FIR, WHITE",Delaware,CONCOLOR,ABIES,Delaware_In_Lot_Parkside Av,"(42.9395170357073, -78.8602197699314)",Delaware,In_Lot,113193,Parkside Av,414,0.06,0.51,0.31,2,1.87,0,2.42,42.93951704,41.25,-78.86021977,0.01,24.82,1,0.21,26.33,1.08,26.95
Olmsted,ABIES CONCOLOR,"FIR, WHITE",South,CONCOLOR,ABIES,Cazenovia_In_Lot_Cazenovia St,"(42.8450786219275, -78.800276739978)",Cazenovia,In_Lot,107248,Cazenovia St,161,0.3,2.67,1.25,5,8.84,0.01,12.68,42.84507862,43.5,-78.80027674,0.04,26.17,1,1.07,133.94,5.02,36.39
Olmsted,ABIES BALSAMEA,"FIR, BALSAM",South,BALSAMEA,ABIES,Heacock_In_Lot_Abbott Rd,"(42.8545888307052, -78.8222230026547)",Heacock,In_Lot,107313,Abbott Rd,225,0.83,15.74,8.17,3,3.97,0.07,5.51,42.85458883,42.07,-78.822223,0.13,25.31,1,1.34,168.06,2.27,31.52
Olmsted,ABIES CONCOLOR,"FIR, WHITE",North,CONCOLOR,ABIES,Delaware_In_Lot_Delaware Av,"(42.9354099566592, -78.8756856619734)",Delaware,In_Lot,96388,Delaware Av,2182,0.78,6.91,2.87,9,22.51,0.03,32.87,42.93540996,45.15,-78.87568566,0.11,27.17,1,2.37,295.92,12.72,52.86
Olmsted,ABIES CONCOLOR,"FIR, WHITE",South,CONCOLOR,ABIES,Cazenovia_In_Lot_Cazenovia St,"(42.8469267570867, -78.8070184693104)",Cazenovia,In_Lot,97796,Cazenovia St,161,1.26,12.61,4.06,12,35.77,0.05,59.91,42.84692676,44.47,-78.80701847,0.17,26.76,1,3.52,440.36,19.45,67.36
Olmsted,ABIES BALSAMEA,"FIR, BALSAM",North,BALSAMEA,ABIES,Riverside_In_Lot_Niagara St,"(42.9564553281418, -78.9075194355083)",Riverside,In_Lot,105802,Niagara St,2505,0.06,0.51,0.31,2,1.87,0,2.42,42.95645533,41.25,-78.90751944,0.01,24.82,1,0.21,26.33,1.08,26.95
Olmsted,ABIES BALSAMEA,"FIR, BALSAM",South,BALSAMEA,ABIES,Heacock_In_Lot_Abbott Rd,"(42.8545679125627, -78.8221000202474)",Heacock,In_Lot,107132,Abbott Rd,225,1.29,24.57,12.17,4,6.08,0.11,8.61,42.85456791,42.89,-78.82210002,0.2,25.8,1,2.11,263.91,3.46,35.39
Olmsted,ABIES BALSAMEA,"FIR, BALSAM",South,BALSAMEA,ABIES,Heacock_In_Lot_Abbott Rd,"(42.854530593603, -78.8221661243967)",Heacock,In_Lot,107312,Abbott Rd,225,1.13,21.21,10.5,4,6.08,0.09,8.61,42.85453059,42.89,-78.82216612,0.17,25.8,1,1.91,239.17,3.46,35.01
Olmsted,ABIES BALSAMEA,"FIR, BALSAM",South,BALSAMEA,ABIES,Cazenovia_In_Lot_Cazenovia St,"(42.8451076545108, -78.8000389308645)",Cazenovia,In_Lot,107250,Cazenovia St,161,0.2,1.81,0.9,4,6.08,0.01,8.61,42.84510765,42.89,-78.80003893,0.03,25.8,1,0.77,96.22,3.46,32.86
